,crs,lat,lon,name,tiploc,toc
93,HYB,52.101598709773256,-1.8337427160436979,Honeybourne,HONYBRN,GW
94,WGT,54.829115571998074,-3.164342616719991,Wigton,WIGTON,NT
95,XWX,0.0,0.0,Wallingford Market Place (Bus),WLGFORD,ZB
96,WRX,53.050230134111416,-3.0024430064248198,Wrexham General,WREXHMG,AW
97,RHO,53.2348357504032,-4.506641787894214,Rhosneigr,RHOSNGR,AW
98,XEI,0.0,0.0,St Neots (Bus),STNVBUS,ZB
99,KWL,51.73433986422341,-4.316985391784186,Kidwelly,KIDWELY,AW
100,RYD,50.7328666299251,-1.159616115933744,Ryde Esplanade,RYDE,IL
101,PTL,55.81217048887149,-4.342894577700912,Priesthill & Darnley,PHLD,SR
102,NWN,53.456378555456524,-2.067142385319519,Newton for Hyde,NWTH,NT
103,BNX,0.0,0.0,Barnsley (Bus),DONCBRN,ZB
104,SBP,51.544109160337705,-0.2758284211176524,Stonebridge Park,STNBGPK,LT
105,PEV,50.81579723688428,0.32480740946206854,Pevensey & Westham,PVNSYAW,SN
106,ACL,52.63467971373351,1.5439151251229433,Acle,ACLE,LE
107,GDH,51.66333329207766,-0.09461050664366928,Gordon Hill,GORDONH,GN
108,DUO,0.0,0.0,Dunoon (Bus),DUNOON,ZB
109,LSY,51.42482888219944,-0.03334548173294932,Lower Sydenham,LSYDNHM,SE
110,SEB,54.92953396823464,-1.3866933393897771,Seaburn (T & W Metro),SEABURN,TW
111,AYW,52.4140430910303,-4.081893448795905,Aberystwyth,ABRYSTH,AW
112,LNZ,55.921317151033506,-4.1538903849840905,Lenzie,LENZIE,SR
113,MDS,51.39611445846409,-0.19946099099884787,Morden South,MORDENS,TL
114,ADD,52.48308428185418,-1.8559444316309872,Adderley Park,ADERLYP,LM
115,EFL,51.25523567770788,0.484728951719465,East Farleigh,EFARLGH,SE
116,SPU,51.171465414570896,0.5504384121380562,Staplehurst,SPHS,SE
117,UHL,51.56362937275318,-0.12951307701878048,Upper Holloway,UPRHLWY,LO
118,WLP,52.65749264723297,-3.1398711867938824,Welshpool,WELSHPL,AW
119,CAS,53.59184499197743,-2.1782339138977465,Castleton,CSTL,NT
120,HAM,50.725190115867015,-2.019356967921385,Hamworthy,HMWTHY,SW
121,BGN,51.50697169668141,-3.575275629465135,Bridgend,BRGEND,AW
122,BRN,55.91712815260169,-4.332020074478121,Bearsden,BSDN,SR
123,WIT,0.0,0.0,London Waterloo Intl,WATRINT,ES
124,APG,52.021235082685294,-0.6323344794036312,Aspley Guise,ASPLEYG,LM
125,XCF,0.0,0.0,Cardiff Intl Airport (Bus),CRDFAIR,ZB
126,DEW,53.69212974519418,-1.633106395979067,Dewsbury,DWBY,TP
127,BPS,53.79869910513901,-3.0489377781044458,Blackpool South,BLCKS,NT
128,GOZ,0.0,0.0,Goldthorpe (Bus),DONCGPS,ZB
129,KSL,53.544137513718844,-2.375119635585013,Kearsley,KEARSLY,NT
130,PYJ,55.852116526630844,-4.442442884976519,Paisley St James,PSLYSTJ,SR
131,NBA,51.64857273361682,-0.1729971535419654,New Barnet,NBARNET,GN
132,WHR,51.56794336191934,0.34064364989630913,West Horndon,WHORNDN,CC
133,HLD,54.010860832646046,-2.227844609795384,Hellifield,HELIFLD,NT
134,RDR,51.51632094542236,-3.2483527772267173,Radyr,RADYR,AW
135,BPL,0.0,0.0,Barlaston Orchard Place (Bus),BARLSOP,ZB
136,VAL,53.281282525450905,-4.563368726232951,Valley,VALLEY,AW
137,BSD,51.2758194354727,0.5775803820172281,Bearsted,BSTD,SE
138,FIT,51.50493727182167,-2.562430535802052,Filton Abbey Wood,FILTNEW,GW
139,NAY,54.61370122743897,-1.5896451944812697,Newton Aycliffe,NWTA,NT
140,BWK,55.77433620789626,-2.010973333835964,Berwick-upon-Tweed,BRWCKUT,GR
141,BIF,54.11899850021927,-3.226120294331034,Barrow-in-Furness,BAROW,TP
142,DMY,55.90459070188789,-4.385472190728753,Drumry,DRUMRY,SR
143,CKH,55.83749967232931,-4.334292445152268,Corkerhill,CKHL,SR
144,LBK,52.29471449804255,-1.0864668032433034,Long Buckby,LNGBKBY,LM
145,RCF,0.0,0.0,Radcliffe Metrolink (Bus),RADGM,ZB
146,BEA,56.156634130371344,-3.957228472935605,Bridge of Allan,BGOALAN,SR
147,PEB,50.81745871083885,0.3429065719961726,Pevensey Bay,PVNSYBY,SN
148,CRL,53.65253444989078,-2.6268406289944943,Chorley,CHORLEY,NT
149,ECS,52.47088194257813,0.9699172234882515,Eccles Road,ECLR,LE
150,FSG,50.8342326910073,-0.21942323071574707,Fishersgate,FSHRSGT,SN
151,YSR,51.643638136430944,-3.4666845504363732,Ystrad Rhondda,YTRHOND,AW
152,UNV,54.9028,-1.3921,University (T & W Metro),UNIV,TW
153,WCL,55.853802271402365,-3.5670167140667135,West Calder,WCALDER,SR
154,GNW,51.478133167435665,-0.01333992176301878,Greenwich,GNWH,SE
155,SAB,50.71110071523092,-1.1541982760790552,Smallbrook Junction,SMALBRK,IL
156,BDA,52.619481258312916,1.4392988175019434,Brundall,BRUNDAL,LE
157,XPB,0.0,0.0,Bristol Intl Airport (Bus),BRSTAIR,ZB
158,LNG,51.38517104254311,-0.5945699831571213,Longcross,LNGCROS,SW
159,PSW,52.625830520775665,-1.6105401118960283,Polesworth,PWTH,LM
160,SPP,52.4302114927358,0.4133451747720132,Shippea Hill,SPHL,LE
161,FIL,54.20985662268332,-0.29384938800244176,Filey,FILEY,NT
162,HRR,54.61348284451141,-3.5655146031551173,Harrington,HNGT,NT
163,MGM,53.13887813395356,-0.39145313345076926,Metheringham,MTHRNGH,EM
164,RAV,54.35570558541832,-3.4088136347188356,Ravenglass for Eskdale,RGLS,NT
165,OLT,52.43850975998469,-1.8043093837423791,Olton,OLTON,LM
166,CRD,52.53564448650945,-1.8324792994839945,Chester Road,CHSRD,LM
167,SAH,52.67557279813696,1.391415475190666,Salhouse,SALHOUS,LE
168,GIL,51.03403268493215,-2.2726236998469402,Gillingham (Dorset),GLHM,SW
169,GNT,52.86634443339401,1.3491163455673327,Gunton,GUNTON,LE
170,FEN,52.000067105382385,-0.7159973278225868,Fenny Stratford,FSTR,LM
171,CBB,50.19704715915018,-5.4632629137903725,Carbis Bay,CARBISB,GW
172,XLU,0.0,0.0,Bishops Lydeard (Bus),BSPSHIT,ZB
173,BLW,52.99969382491634,-1.1962304761383986,Bulwell,BULWELL,EM
174,FMR,50.86212716045091,-0.08738550084588205,Falmer,FAMR,SN
175,WNY,51.83890980843886,0.5958634308177753,White Notley,WNOTLEY,LE
176,SFD,53.48308168507671,-2.254840687983262,Salford Central,SLFDORD,NT
177,BGI,55.851290124268594,-4.073807303983155,Bargeddie,BRGDDIE,SR
178,WLY,53.429251655854706,-2.093271550485685,Woodley,WOODLEY,NT
179,BYC,53.0920646818009,-3.800861272935723,Betws-y-Coed,BETSYCD,AW
180,WYT,52.37993485879952,-1.8655349326191222,Wythall,WYTH,LM
181,KID,52.384480782099516,-2.2384707238434625,Kidderminster,KDRMNST,LM
182,SMO,51.4029912575127,-0.20515747071830376,South Merton,SMERTON,TL
183,ULC,53.61919901630419,-0.3008267607211642,Ulceby,ULCEBY,NT
184,AWK,53.57231908265824,-1.1803562442158075,Adwick,ADWICK,NT
185,CRR,56.76021269634052,-4.690600153436945,Corrour,CORROUR,SR
186,OVR,51.25429201062932,-1.2592676033460328,Overton,OVTN,SW
187,RET,53.31515227974162,-0.947884024701815,Retford,RTFD,GR
188,STQ,50.8951507027228,-1.4058303315722478,Southampton Town Quay (Bus),SOTNTQ,ZB
189,BBS,52.47187133321373,-1.8777686447696424,Bordesley,BRDS,LM
190,GOS,54.195720441645335,-2.902747274264969,Grange-over-Sands,GOVS,TP
191,MAY,55.354734808291454,-4.685288657246588,Maybole,MAYBOLE,SR
192,YET,50.89576272751939,-2.573755633127097,Yetminster,YTMNSTR,GW
193,LIH,51.193898925872205,0.21049492538885142,Leigh (Kent),LEIGHK,SN
194,SMC,50.770098437294195,-3.948890978995091,Sampford Courtenay,SAMPCRT,GW
195,SLO,51.51187861986129,-0.5915104151514504,Slough,SLOUGH,GW
196,LHE,56.85526676455846,-5.191576470389345,Loch Eil Outward Bound,LCEILOB,SR
197,WBP,51.4870595019825,-0.19559263318827042,West Brompton,WBRMPTN,LT
198,NBT,51.41235581639422,-0.28402502143145947,Norbiton,NRBITON,SW
199,KVP,53.336713348164245,-1.2398445359901393,Kiveton Park,KVTNPK,NT
200,PNL,53.95832261310232,-1.533466981334974,Pannal,PANNAL,NT
201,XDC,0.0,0.0,Wantage (Bus),WANTMPL,ZB
202,MEO,53.399437788562416,-3.154269142590225,Meols,MELS,ME
203,SRG,51.60984297706446,-0.607818519867759,Seer Green,SEERGRN,CH
204,CTO,52.965085588137555,-1.0786549560253254,Carlton,CRTN,EM
205,GLY,50.85917013389891,0.07007729378930234,Glynde,GLYNDE,SN
206,MSW,53.163561318802515,-1.2018485119695417,Mansfield Woodhouse,MFLDWSE,EM
207,IBM,55.92944573172912,-4.827239930392862,IBM,IBMM,SR
208,BRL,55.097002950822606,-4.781780960824862,Barrhill,BRRHL,SR
209,TRD,51.71242365812675,-3.3467439510344223,Troed-y-rhiw,TRDYRHW,AW
210,MEC,53.64627016995213,-2.9758037394276884,Meols Cop,MEOLSCP,NT
211,BUR,0.0,0.0,Bury Metrolink (Bus),BURY,ZB
212,POL,50.73127895855007,-3.5019471070107016,Polsloe Bridge,POLSBDG,GW
213,TPN,51.64779889604921,-3.4861872909517815,Ton Pentre,TONPNTR,AW
214,BCK,53.16303412389489,-3.0559256412443463,Buckley,BCKY,AW
215,CHC,55.86468053392175,-4.269819900019294,Charing Cross (Glasgow),CHRNGXG,SR
216,SRA,51.541893184624854,-0.0033967355799776923,Stratford (London),STFD,XR
217,WWO,50.81835207999152,-0.392985188238169,West Worthing,WWRTHNG,SN
218,RSH,53.396221724767685,-2.0765215016483203,Rose Hill Marple,ROHL,NT
219,SMT,51.78783865884637,0.0012691377785753587,St Margarets (Hertfordshire),SMARGRT,LE
220,WIH,51.63394021674655,-0.10090023464919244,Winchmore Hill,WNMHILL,GN
221,CRS,55.691045156800065,-3.6684732102532243,Carstairs,CRSTRS,SR
222,KGX,51.530881477704284,-0.12292598600691025,London Kings Cross,KNGX,RT
223,ULP,0.0,0.0,Ullapool (Bus),ULLAPOL,ZB
224,XEZ,0.0,0.0,Bicester (Bus),BCSTBUS,ZB
225,LHS,51.51253481634216,-0.039802861988681146,Limehouse,LIMHSE,CC
226,THB,55.8110982456796,-4.311707064984751,Thornliebank,THLB,SR
227,DRT,53.58836610355137,-1.531657433734141,Darton,DRTN,NT
228,LLD,53.3209147016927,-3.827001105907067,Llandudno,LUDO,AW
229,NRN,57.58024507758819,-3.8720000322654813,Nairn,NAIRN,SR
230,KGE,55.91881242389054,-3.264966147758671,Kingsknowe,KNGW,SR
231,TNA,53.654300809612515,-0.323021480361524,Thornton Abbey,THABBEY,NT
232,LRD,51.24064790454977,-0.5650689527735233,London Road (Guildford),LRDGFD,SW
233,BAL,51.44322301298383,-0.15242448914119103,Balham,BALHAM,SN
234,FRH,50.9015,1.81152,Calais Frethun,CALAFGV,ES
235,WAC,53.3918144893738,-2.5931682922138877,Warrington Central,WRGT,TP
236,GMV,52.109196969222225,-2.318270808130817,Great Malvern,GTMLVRN,LM
237,XEK,0.0,0.0,Moretonhampstead (Bus),MRTECTR,ZB
238,MNC,56.20101453484031,-3.1307868475353415,Markinch,MKIN,SR
239,WRT,52.77742399055861,1.404081230149746,Worstead,WORSTED,LE
240,EBB,51.77668614916963,-3.2025768816539606,Ebbw Vale Town,EBWVTN,AW
241,MEL,52.09071487803867,0.008941215037779808,Meldreth,MELDRTH,GN
242,BYB,52.96814062989019,-2.0669611116633297,Blythe Bridge,BLYBDGE,EM
243,LOT,53.57292553181959,-2.4942660807285746,Lostock,LOSTCKP,NT
244,CNM,51.897395602561794,-2.0996199573135192,Cheltenham Spa,CHLTNHM,GW
245,FZH,53.82036838324465,-1.769001070885596,Frizinghall,FRZNGHL,NT
246,TVA,0.0,0.0,Tees Valley Airport (Bus),DLTNTVA,ZB
247,LLJ,53.28394207597431,-3.8091017849213955,Llandudno Junction,LANDUDJ,AW
248,UPM,51.559106197898565,0.25088392480396865,Upminster,UPMNSP6,CC
249,DBC,55.94665365962121,-4.566920512378465,Dumbarton Central,DMBRTNC,SR
250,STT,55.68215252093108,-4.518057462303498,Stewarton,STEWRTN,SR
251,DBE,55.94224567102843,-4.554136639676801,Dumbarton East,DMBRTNE,SR
252,TYS,52.45411488409697,-1.8391160057389504,Tyseley,TYSL,LM
253,DNS,51.431662471639015,-3.218351511495117,Dinas Powys,DINASP,AW
254,DEE,56.45648516162369,-2.9712045352214917,Dundee,DUNDETB,SR
255,LDY,56.27378066579779,-3.1222751375888422,Ladybank,LADYBNK,SR
256,PBY,51.68352561101079,-4.247841053420649,Pembrey & Burry Port,PMBRYBP,AW
257,GMD,53.57431968975079,-0.0756172819542954,Grimsby Docks,GRMSBYD,NT
258,KEI,53.86796129614441,-1.9016494845888396,Keighley,KEIGHLY,NT
259,BIP,50.78014159961512,0.08275692749959099,Bishopstone,BSSN,SN
260,SFO,51.51436162964232,0.4230357516493626,Stanford-le-Hope,SLEHOPE,CC
261,BYF,56.46715948919992,-2.8731522873335,Broughty Ferry,BRFRY,SR
262,MYH,55.89762955523126,-4.300745023646487,Maryhill,MRYHILL,SR
263,DRM,56.00512165275773,-2.7860478119682632,Drem,DREMJ,SR
264,XBW,0.0,0.0,Minehead Bancks Street (Bus),MINEBAN,ZB
265,NBE,51.66581369411219,-3.1428851095734682,Newbridge,NBRWGE,AW
266,WSF,53.19050970454007,-2.4945993149814876,Winsford,WNSFD,LM
267,THD,51.38909518483323,-0.33915217599598757,Thames Ditton,TDITTON,SW
268,HMM,53.99632822513706,-1.2840955874829147,Hammerton,HAMERTN,NT
269,HOR,51.16877344760636,-0.16105357729562952,Horley,HORLEY,SN
270,BLY,51.99533270082938,-0.7363204707714394,Bletchley,BLTCHLY,LM
271,ARU,50.84821300398625,-0.546174276346412,Arundel,ARUNDEL,SN
272,FNB,51.296603575677665,-0.7557256871661012,Farnborough (Main),FRBRMN,SW
273,CGW,53.10786147620754,-3.032912732311197,Caergwrle,CAERGWL,AW
274,MAO,51.40740987543696,-0.7243966507152414,Martins Heron,MHERON,SW
275,OXT,51.25790633727494,-0.004833575342926261,Oxted,OXTEDBY,SN
276,PAT,53.48477573466068,-2.358244632942695,Patricroft,PTRCRFT,NT
277,GMB,53.56342662469799,-0.08698394637622033,Grimsby Town,GRMSBYT,TP
278,TUR,51.672626214705346,-0.04721663292057485,Turkey Street,TURKYST,LO
279,XDH,0.0,0.0,Wells (Bus),WLLSPRI,ZB
280,XBR,0.0,0.0,Midsomer Norton (Bus),MIDSTHL,ZB
281,TAF,51.54080261794074,-3.262937841979913,Taffs Well,TAFFSWL,AW
282,LTN,51.872435754807455,-0.3958810013032624,Luton Airport Parkway,LUTOAPY,TL
283,XDO,0.0,0.0,Bath Bus Station,BATHBUS,ZB
284,CHM,51.736370675488565,0.46857210000913924,Chelmsford,CHLMSFD,LE
285,FLW,51.43393328749854,-0.3494675954480056,Fulwell,FULWELL,SW
286,HTW,55.81147954079327,-3.839321832118059,Hartwood,HRTW,SR
287,PNZ,50.12167154676524,-5.532565133194136,Penzance,PENZNCE,GW
288,WDE,52.34367843630911,-1.8442137067976367,Wood End,WDND,LM
289,GCW,53.26741971201112,-3.797727336184678,Glan Conwy,GLNCNWY,AW
290,HOV,50.83521447702881,-0.17068739192879606,Hove,HOVE,SN
291,TRH,51.61014893532782,-3.3809745096114905,Trehafod,TREHAFD,AW
292,WTE,52.39183003510532,-1.8515388432401703,Whitlocks End,WHLE,LM
293,DLJ,51.54611376388109,-0.07513756624735955,Dalston Junction,DALS,LO
294,VIR,51.4018003713731,-0.5621738254365595,Virginia Water,VRGNWTR,SW
295,ASP,54.75895457618836,-3.3318735575574396,Aspatria,ASPTRIA,NT
296,LPT,53.04188009326136,-2.216447844552954,Longport,LNGP,EM
297,LWS,50.870630110043486,0.01133052139248327,Lewes,LEWES,SN
298,EWD,52.366579482102004,-1.8611694937902326,Earlswood (West Midlands),ELWD,LM
299,WAN,51.24452148390875,-0.6675877675716477,Wanborough,WANBRO,SW
300,BTO,51.24818735936198,-0.26697300601745594,Betchworth,BTCHWTH,GW
301,FLN,53.24952242503591,-3.1329930794723206,Flint,FLINT,AW
302,BUK,52.35737721530825,-2.9473778067564362,Bucknell,BKNELL,AW
303,LLM,52.11429662463637,-3.5548165204289437,Llangammarch,LLGMMRW,AW
304,CNG,53.15785265238798,-2.1925799855316686,Congleton,CONGLTN,NT
305,WMN,51.20677486987703,-2.176734034923989,Warminster,WRMNSTR,GW
306,MTL,51.46808498823016,-0.2671056424193278,Mortlake,MRTLKE,SW
307,BWT,51.12785457904066,-2.9904054460695226,Bridgwater,BRDGWTR,GW
308,BRT,52.942870519384506,-2.168111108173998,Barlaston,BARLSTN,LM
309,MNP,51.55247476457618,0.046341541016394754,Manor Park,MANRPK,XR
310,ESL,50.969248424712156,-1.3500844830684007,Eastleigh,ELGH,SW
311,SHO,50.89675187314307,-1.3649149688340512,Sholing,SHOLING,SW
312,EGT,54.43747979851764,-0.7614649286280512,Egton,EGTON,NT
313,HDH,51.55520832771318,-0.16570541675743666,Hampstead Heath,HMPSTDH,LO
314,WCP,51.38125071015674,-0.2451673022213078,Worcester Park,WRCSTRP,SW
315,RMK,0.0,0.0,"Richmond, Nth Yorks (Bus)",DLTNRIM,ZB
316,ISP,51.82575154811538,-1.23818167009187,Islip,ISLIP,CH
317,TPB,51.53756837037452,0.7617279575005359,Thorpe Bay,THOPBAY,CC
318,CRH,51.57130001860291,-0.11714881368883445,Crouch Hill,CROUCHH,LO
319,TBW,51.130231988476794,0.2628103116817585,Tunbridge Wells,TUNWELL,SE
320,GLE,56.27484862745999,-3.7311679052629314,Gleneagles,GLNEGLS,SR
321,KSW,54.45485543206214,-2.368596587917768,Kirkby Stephen,KSTP,NT
322,ALW,54.52462118835162,-1.3611167227003185,Allens West,ALLENSW,NT
323,DMG,51.617832180295466,-3.437541043527335,Dinas Rhondda,DINASR,AW
324,BSR,51.360672427214915,1.4335605581507305,Broadstairs,BRSR,SE
325,XEE,0.0,0.0,Holsworthy (Bus),HOLSLIB,ZB
326,WEM,52.85640771296446,-2.7180168678882506,Wem,WEMM,AW
327,CSN,51.36403922622502,-0.3006991277268866,Chessington North,CHSSN,SW
328,HRD,52.45368783250652,0.9091422879025278,Harling Road,HRLNGRD,LE
329,AUI,56.30196545330362,-4.7216573210900314,Ardlui,ARDLUI,SR
330,ERI,51.0889636957593,0.20143172133156884,Eridge,ERIDGE,SN
331,APD,51.03323518245118,0.8163415505736319,Appledore (Kent),APDR,SN
332,DHN,53.66848097277538,-1.7518964097527505,Deighton,DEIGHTN,NT
333,GLG,55.73888619271206,-4.67450160251453,Glengarnock,GLGN,SR
334,MLH,53.735456357204384,-2.501735311170755,Mill Hill (Lancashire),MLHL,NT
335,WRP,52.28610160603858,-1.6120578527593907,Warwick Parkway,WARWPWY,CH
336,GOF,56.497793039126464,-2.7195435006412327,Golf Street,GOLFSTR,SR
337,CHY,51.38706705202925,-0.5093166064676423,Chertsey,CHTSEY,SW
338,WOK,51.318467546091746,-0.5569596795014521,Woking,WOKING,SW
339,LLE,51.67386476515968,-4.16130341182469,Llanelli,LLNLLI,AW
340,MYB,51.522522027884825,-0.16291089985291704,London Marylebone,MARYLBN,CH
341,WIL,52.85364317173123,-1.5633605394187644,Willington,WLNTNON,EM
342,WIJ,51.5324947720042,-0.24454788456345455,Willesden Junction,WLSDJHL,LO
343,BME,52.4227698823911,-2.8852074714326923,Broome,BROOME,AW
344,CAM,51.336325837129394,-0.7442716833707637,Camberley,CMBLEY,SW
345,SRT,51.40579885288157,0.0017840279047206154,Shortlands,SHRTLND,SE
346,SOP,53.64651749479831,-3.0024347131693565,Southport,SOUTHPT,ME
347,TYB,52.954368960013916,-4.0115152823743,Tan-y-Bwlch  (Bus),TANY,ZB
348,ENC,51.65325222216049,-0.09069636549785143,Enfield Chase,ENFC,GN
349,RYP,50.73918327908035,-1.1601266594011788,Ryde Pier Head,RYDCATS,IL
350,BEB,53.35765219769061,-3.0036346408225763,Bebington,BEBNGTN,ME
351,LGW,54.69435586371646,-2.663683672794805,Langwathby,LWBY,NT
352,WSE,50.933763855056114,0.7022616615985646,Winchelsea,WINCNEW,SN
